id,ST_AsText(loc)
1,"POINT(-88.665706 41.465879)"
2,"POINT(-88.665706 41.465879)"
3,"POINT(-89.405799 38.894449)"
4,"POINT(-88.665706 41.465879)"
5,"POINT(-89.405799 38.894449)"
6,"POINT(-88.665706 41.465879)"
7,"POINT(-76.967545 38.91023)"
8,"POINT(-88.665706 41.465879)"
9,"POINT(-88.665706 41.465879)"
10,"POINT(-88.665706 41.465879)"
11,"POINT(-88.665706 41.465879)"
12,"POINT(-89.405799 38.894449)"
13,"POINT(-88.665706 41.465879)"
14,"POINT(-89.4057999 38.894535)"
15,"POINT(-89.4057999 38.894535)"
16,"POINT(-89.4057999 38.894535)"
17,"POINT(-89.4057999 38.894535)"
18,"POINT(-89.4057999 38.894535)"
19,"POINT(28.976667 41.005278)"
20,"POINT(-89.405799 38.894449)"
21,"POINT(-0.0761 51.5081)"
22,"POINT(-0.083 51.511)"
23,"POINT(-0.0864401 51.5109041)"
24,"POINT(2.336558 48.860874)"
25,"POINT(-0.1262362 51.5001524)"
26,"POINT(34.84477 38.648316)"
27,"POINT(2.3396284 48.8601064)"
28,"POINT(-1.826305 51.179084)"
29,"POINT(2.3158236 48.8552131)"
30,"POINT(-122.6980457 42.1853257)"
31,"POINT(2.3396284 48.8601064)"
32,"POINT(2.295023 48.873818)"
33,"POINT(2.3207181 48.8655939)"
34,"POINT(2.312553 48.866161)"
35,"POINT(26.408466 40.146818)"
36,"POINT(27.341483 37.943085)"
37,"POINT(-2.3598293 51.3813894)"
38,"POINT(28.98 41.0086111)"
39,"POINT(36.6903289 -1.1692017)"
40,"POINT(35.1708741 -1.5294931)"
41,"POINT(-5.1665464 36.7387143)"
42,"POINT(-5.1670971 36.7383044)"
43,"POINT(-5.1671143 36.7382155)"
44,"POINT(-5.1641764 36.7374305)"
45,"POINT(-5.1672877 36.7412777)"
46,"POINT(-5.1668321 36.7419671)"
47,"POINT(-5.1667783 36.7428815)"
48,"POINT(-3.5979291 37.1764874)"
49,"POINT(-3.5979291 37.1764874)"
50,"POINT(-3.5821143 37.1813829)"
51,"POINT(-3.3586543 36.961223)"
52,"POINT(-2.1838715 36.7208801)"
53,"POINT(-2.1907983 36.722134)"
54,"POINT(-5.9922732 37.3852867)"
55,"POINT(-5.9909591 37.3847475)"
56,"POINT(-4.7828603 37.8779934)"
57,"POINT(-4.7833257 37.8797796)"
58,"POINT(-87.911936 41.552464)"
59,"POINT(-87.911936 41.552464)"
60,"POINT(-87.911936 41.552464)"
61,"POINT(-87.911936 41.552464)"
62,"POINT(-87.911936 41.552464)"
63,"POINT(-90.2499281833 38.5994997333)"
